Exp or Imp,Year,Country,Value-Year,Value-Jan,Value-Feb,Value-Mar,Value-Apr,Value-May,Value-Jun,Value-Jul,Value-Aug,Value-Sep,Value-Oct,Value-Nov,Value-Dec
1,2023,308,2416526,49074,214187,65728,460831,320457,100340,45728,1038985,121196,0,0,0
1,2023,309,16856143,1027613,2136971,2296460,1728606,1711247,2347528,1957047,1663149,1987522,0,0,0
1,2023,310,12876540,904862,1253564,1380915,1622814,904712,1513052,1079507,2100116,2116998,0,0,0
1,2023,311,46326248,3536002,3939310,5361303,3626670,6098657,5374210,5610883,5618497,7160716,0,0,0
1,2023,312,389693347,51912018,24297894,56411083,44731761,24988789,63954820,35511013,37198109,50687860,0,0,0
1,2023,314,1098399,154554,120218,74396,139737,120723,101863,114307,87717,184884,0,0,0
1,2023,315,39806772,509959,657651,11513142,682337,7434257,754548,9466136,845060,7943682,0,0,0
1,2023,316,32970350,2185010,3456241,2668748,3631429,4965529,4599389,2731346,4648441,4084217,0,0,0
1,2023,317,1220082,14895,123850,95840,134786,132547,169650,173502,187884,187128,0,0,0
1,2023,319,14224129,477113,4449109,684835,934658,1009443,836033,4435991,598762,798185,0,0,0
1,2023,320,19511699,1351780,2057652,2423249,2142837,2225974,2202553,2392155,2136135,2579364,0,0,0
1,2023,321,1778722,30631,16546,27495,52100,76717,206063,29643,643731,695796,0,0,0
1,2023,322,1096425,232236,173166,47627,279493,67705,6994,124814,125166,39224,0,0,0
1,2023,323,36532542,2668724,3626328,4977273,3859365,4076686,4829216,4587255,3876349,4031346,0,0,0
1,2023,324,95846101,5656101,10324449,8969044,14510273,7565357,16268666,7763299,13684857,11104055,0,0,0
1,2023,325,146698,7367,11128,45438,28260,0,9860,36509,4357,3779,0,0,0
1,2023,326,2476143,134303,264162,332672,262832,147666,277561,232941,348524,475482,0,0,0
1,2023,327,3498580,191076,247626,338693,589042,379560,385208,354223,503968,509184,0,0,0
1,2023,328,1917448,63052,343027,120977,242899,346994,203515,148084,235644,213256,0,0,0
1,2023,329,1487231,77078,182717,179191,184589,108996,242101,140781,176671,195107,0,0,0
1,2023,330,1795484,99132,298941,147481,227108,220308,215903,158823,179821,247967,0,0,0
1,2023,331,2051256,99121,364156,211400,265867,278807,239376,134113,202348,256068,0,0,0
1,2023,332,242771,11428,12575,59521,30335,48865,14992,17716,37586,9753,0,0,0
1,2023,333,548981,13152,90880,35818,42785,78602,93797,51326,89157,53464,0,0,0
1,2023,334,49746,0,13820,497,9537,5121,5733,5940,3747,5351,0,0,0
1,2023,335,757167,37325,104118,151217,52943,91322,95884,55375,80504,88479,0,0,0
1,2023,336,686621,27329,135906,34985,62523,93909,116540,38377,99717,77335,0,0,0
1,2023,337,253744,23961,39912,21417,14756,25052,65041,15882,34555,13168,0,0,0
1,2023,338,171568,8069,40715,8695,0,0,63363,2158,0,48568,0,0,0
1,2023,401,102724584,9533311,12169152,14039925,11516965,11370801,15346936,11895672,7442512,9409310,0,0,0
1,2023,402,5427739,393285,533896,669306,329741,595015,496434,544195,1145292,720575,0,0,0
1,2023,403,15754568,1242477,1738728,1684790,1812448,1776481,1979348,1743960,1811939,1964397,0,0,0
1,2023,404,5904285,376037,629079,739667,651198,697072,703315,748120,649528,710269,0,0,0
1,2023,405,594285,46586,60762,46539,77541,82048,94139,133956,28976,23738,0,0,0
1,2023,406,54739925,5389515,5973399,7033994,3321133,4814534,4607893,8266145,3892248,11441064,0,0,0
1,2023,407,80488354,7182181,6747930,14682785,7333895,8079534,7638327,11273345,6590364,10959993,0,0,0
1,2023,408,12700815,808842,1185739,1979465,1557928,1083834,1456878,1398344,1635724,1594061,0,0,0
1,2023,409,196954104,21366684,22930584,19810855,23060339,17744687,15838788,24862362,17176102,34163703,0,0,0
1,2023,410,441661490,37818484,49347837,58336603,54264620,42559002,50335642,46549020,49232494,53217788,0,0,0
1,2023,411,10742661,955438,748677,1416801,1251479,1138302,1055186,1398681,1345400,1432697,0,0,0
1,2023,412,7816344,937278,764773,1004504,781698,631616,864149,981476,738859,1111991,0,0,0
1,2023,413,95394171,7169223,10188445,9559227,10301530,10314318,11165868,13276132,13153850,10265578,0,0,0
1,2023,414,1550,720,830,0,0,0,0,0,0,0,0,0,0
1,2023,501,26959825,2578066,2726823,3308019,2755077,2547852,2491707,3906310,3098353,3547618,0,0,0
1,2023,502,11369,0,0,0,0,0,5817,0,5552,0,0,0,0
1,2023,503,9281734,1073624,1013090,378500,3505272,612230,450050,288799,698640,1261529,0,0,0
1,2023,504,8423437,574922,878189,669188,1234587,669020,902929,1072253,1815710,606639,0,0,0
1,2023,505,5558495,422095,426623,613341,438806,434900,910852,915294,572681,823903,0,0,0
1,2023,506,64739352,3205285,7588227,8124674,6520575,5097103,6638512,8729552,9582998,9252426,0,0,0
1,2023,507,4122002,941477,863890,716842,668227,97450,113297,23704,457409,239706,0,0,0
1,2023,508,317,0,0,0,0,0,0,0,0,317,0,0,0
1,2023,509,1897313,179853,167947,279817,361027,138217,152105,262824,90932,264591,0,0,0
1,2023,510,6248265,970495,551242,608604,579080,465318,890332,900783,555181,727230,0,0,0
1,2023,511,141803,59630,14724,0,4112,0,29509,23636,0,10192,0,0,0
1,2023,512,144194,1198,0,142399,0,0,597,0,0,0,0,0,0
1,2023,513,871200,102007,39495,52097,175047,98754,98659,132079,109473,63589,0,0,0
1,2023,514,709470,25956,108401,4209,6497,105204,57104,71776,33296,297027,0,0,0
1,2023,515,234049522,34814789,14738241,21730633,10122593,2062361,39154222,79435305,10774649,21216729,0,0,0
1,2023,516,7360284,459656,558527,888100,551713,278409,953974,860670,1435654,1373581,0,0,0
1,2023,517,9984452,1008966,896695,1712964,847698,1111134,1132034,1025736,934161,1315064,0,0,0
1,2023,518,1959836,595721,67404,307300,132848,73958,88410,264669,139259,290267,0,0,0
1,2023,519,1328828,16793,87590,22802,3147,513023,38123,74392,240860,332098,0,0,0
1,2023,520,1650336,277711,148357,283740,154441,160594,116492,221730,133340,153931,0,0,0
1,2023,521,642973,38171,151725,61392,58934,43612,76424,93284,60005,59426,0,0,0
1,2023,522,513947,49303,52679,29995,71852,25373,73316,77145,93309,40975,0,0,0
1,2023,523,3008824,309365,266725,306515,371029,419023,349849,359149,236458,390711,0,0,0
1,2023,524,30034626,3120385,2486414,2661649,2766594,2322837,3456334,3524891,5771739,3923783,0,0,0
1,2023,525,521383,101069,916,51457,129694,135515,42869,11552,42610,5701,0,0,0
1,2023,526,557117,103920,17694,27402,26514,26322,56914,60487,124132,113732,0,0,0
1,2023,527,3830862,251105,246607,635613,384984,456668,409461,565527,396211,484686,0,0,0
1,2023,528,100777,3072,10068,0,17200,23121,13251,3880,7751,22434,0,0,0
1,2023,529,220601,52346,9260,1756,630,98300,31387,7481,19441,0,0,0,0
1,2023,530,944889,1218,506,0,1498,1281,7127,34102,955,898202,0,0,0
1,2023,531,4424495,278335,299954,665644,352750,353344,869134,759994,411215,434125,0,0,0
1,2023,532,467872,14875,9964,6026,5228,27760,36440,22962,39981,304636,0,0,0
1,2023,533,16080863,1159621,2364429,2770115,1170575,933743,1240957,2049019,1585410,2806994,0,0,0
1,2023,534,1301399,81326,134918,161399,56868,156796,219808,170304,230162,89818,0,0,0
1,2023,535,4982102,672388,334533,904081,835808,471247,697365,344857,533540,188283,0,0,0
1,2023,536,504553,0,0,1282,19029,11742,55000,381500,0,36000,0,0,0
1,2023,537,571,571,0,0,0,0,0,0,0,0,0,0,0
1,2023,538,4638177,125094,641634,437738,173361,610141,659148,220513,1087809,682739,0,0,0
1,2023,539,5675042,398513,584724,1069610,729160,307714,1303561,253758,407343,620659,0,0,0
1,2023,540,338116,30748,26772,41791,58468,23034,31926,43698,25801,55878,0,0,0
1,2023,541,100323760,9087660,8262246,13583401,10201225,10801850,14074441,10860264,9732294,13720379,0,0,0
1,2023,542,18449288,1355977,1502185,1862083,2394462,2084506,2305568,2421590,2172525,2350392,0,0,0
1,2023,543,58126374,4802504,5156981,9066451,5157423,6477867,7036508,6010837,5960970,8456833,0,0,0
1,2023,544,821028,82547,66219,85097,79483,66239,74589,127142,133169,106543,0,0,0
1,2023,545,11540819,963196,1099805,1204463,1348787,1667288,1452254,1074961,1543250,1186815,0,0,0
1,2023,546,2013327,58579,318514,173469,344640,273209,131415,282073,299805,131623,0,0,0
1,2023,547,17710163,1713386,1741951,1603304,2133010,1858537,1856682,2292436,2005825,2505032,0,0,0
1,2023,548,3026406,325912,247765,418795,396723,375125,421172,217444,275722,347748,0,0,0
1,2023,549,5440226,285463,691017,575965,555790,491632,709941,559436,785690,785292,0,0,0
1,2023,550,2647015,262240,148694,313653,578538,212248,238863,206005,443490,243284,0,0,0
1,2023,551,267209743,22512274,28561830,26753686,27384400,27989673,33604571,31768505,33674672,34960132,0,0,0
1,2023,552,1073689,69206,90250,158439,95816,208548,115250,89018,111901,135261,0,0,0
1,2023,553,3572708,284983,256769,1154411,375475,158041,320060,303051,298225,421693,0,0,0
1,2023,554,12800757,1009460,1079226,972755,1600388,1235245,2200579,1382166,1658148,1662790,0,0,0
1,2023,555,1791783,130509,155588,175016,244791,176741,193199,195064,210586,310289,0,0,0
1,2023,556,519258,41859,44372,45112,44308,59593,74683,59186,56007,94138,0,0,0
1,2023,558,115757,8091,0,10755,36615,15989,0,33651,793,9863,0,0,0
1,2023,559,15220,0,0,0,0,3155,4900,0,7165,0,0,0,0
1,2023,560,2321838,172418,185985,225854,459433,179054,232988,258643,318353,289110,0,0,0
